||547|0.250|7.060|13.000|9.000|1.200|25.000|0.054|Hard Drawn|Zinc|
||5217|0.250|7.190|13.000|9.000|1.200|25.000|0.054|Spring Steel|Zinc|
||B18-124|0.312|1.560|56.000|8.000|0.320|26.000|0.060|Spring Steel|None|
||557|0.328|1.380|47.000|6.000|0.430|26.000|0.064|Phosphor Bronze|None|
||5180|0.375|1.130|89.000|7.000|0.210|25.000|0.064|Spring Steel|Gold Irridite®|
||5240|0.375|1.750|42.000|7.000|0.440|25.000|0.064|Spring Steel|Zinc|
||5241|0.375|3.000|22.000|7.000|0.890|26.000|0.065|Spring Steel|Zinc|
||576|0.375|3.160|18.000|6.000|0.960|24.000|0.063|Spring Steel|Zinc|
||5680|0.375|4.000|14.000|6.000|1.300|24.000|0.063|Spring Steel|Zinc|
||5822|0.375|5.500|11.000|7.000|1.700|26.000|0.065|Spring Steel|Zinc|
||N-116|0.390|1.220|60.000|7.000|0.310|25.000|0.065|Spring Steel|Gold Irridite®|
||S-640|0.468|4.720|9.500|6.000|2.000|25.000|0.072|Stainless|None|
||5177|0.484|1.750|37.000|6.000|0.530|26.000|0.072|Hard Drawn|Zinc|
||5277|0.484|3.130|16.000|6.000|1.200|26.000|0.072|Spring Steel|Zinc|
||ZZ3-32|0.500|1.440|49.000|6.000|0.380|25.000|0.072|Spring Steel|Gold Irridite®|
||5538|0.500|2.000|23.000|6.000|0.820|25.000|0.072|Hard Drawn|Zinc|
||M-123|0.500|2.220|19.000|5.000|0.950|24.000|0.071|Spring Steel|None|
||545|0.500|2.660|17.000|6.000|1.100|25.000|0.072|Hard Drawn|Zinc|
||5476|0.500|3.380|14.000|6.000|1.300|25.000|0.072|Spring Steel|Zinc|
||224|0.500|3.500|12.000|6.000|1.600|25.000|0.072|Hard Drawn|Zinc|
||5290|0.500|4.190|10.000|6.000|1.800|25.000|0.072|Spring Steel|Zinc|
||94|0.500|5.000|8.200|6.000|2.300|25.000|0.072|Hard Drawn|Zinc|
||5069|0.500|5.690|7.200|6.000|2.600|25.000|0.072|Spring Steel|Zinc|
||5085|0.500|5.750|6.800|6.000|2.800|25.000|0.072|Hard Drawn|Zinc|
||244|0.500|7.000|5.600|6.000|3.400|25.000|0.072|Hard Drawn|Zinc|
||5101|0.500|9.380|4.100|6.000|4.600|25.000|0.072|Hard Drawn|Zinc|
||5528|0.500|13.300|2.800|6.000|6.700|25.000|0.072|Hard Drawn|Zinc|
||12385|0.578|7.750|3.800|5.000|5.100|24.000|0.075|Spring Steel|Zinc|
||5667|0.640|3.880|9.700|5.000|2.200|26.000|0.080|Spring Steel|Zinc|
||5668|0.640|5.750|5.500|5.000|3.800|26.000|0.080|Spring Steel|Zinc|
||5598|0.640|7.750|3.900|5.000|5.400|26.000|0.080|Spring Steel|Zinc|
||555|0.687|1.690|23.000|4.000|0.860|24.000|0.080|Hard Drawn|Zinc|
||5374|0.687|3.500|11.000|4.000|1.700|24.000|0.080|Spring Steel|Zinc|
||5505|0.687|5.380|5.000|4.000|3.900|24.000|0.080|Spring Steel|Zinc|
||5500|0.687|5.440|5.500|5.000|3.800|26.000|0.082|Spring Steel|Zinc|
||5508|0.687|5.500|5.000|4.000|3.900|24.000|0.080|Hard Drawn|Zinc|
||97|0.687|5.500|4.500|4.000|4.400|24.000|0.080|Hard Drawn|Zinc|
||5587|0.687|5.630|5.200|5.000|4.000|26.000|0.082|Spring Steel|Zinc|
||S-613|0.812|2.940|12.000|5.000|1.800|26.000|0.090|Stainless|None|
||B5-56|0.843|4.030|5.300|4.000|3.900|25.000|0.087|Spring Steel|None|
||5520|0.875|3.380|9.700|4.000|2.200|26.000|0.091|Hard Drawn|Zinc|
||78|0.875|3.500|7.700|4.000|2.800|26.000|0.091|Hard Drawn|Zinc|
||98|0.875|6.000|3.900|4.000|5.600|26.000|0.091|Hard Drawn|Zinc|
||616|0.875|11.800|1.800|4.000|12.000|26.000|0.091|Hard Drawn|Zinc|
