select|Select|CAD|CSC|Stock #|OD (in)|ID (in)|Free Length(in)|Rate (lbs/in)|Sugg. Max Defl (in)|Sugg. Max Load (lbs)|Solid Length (in)|Wire Dia. (in)|Total Coils|Material|Ends|Finish|
||80000|0.063|0.250|1.000|0.030|0.290|0.320|0.007|Music Wire|None|
||80000S|0.063|0.250|0.850|0.030|0.220|0.220|0.007|Stainless|None|
||80005|0.063|0.250|2.000|0.040|0.210|0.460|0.008|Music Wire|None|
||80005S|0.063|0.250|1.700|0.030|0.160|0.300|0.008|Stainless|None|
||80012S|0.063|0.250|3.100|0.050|0.120|0.420|0.009|Stainless|None|
||80001|0.063|0.310|0.700|0.030|0.420|0.320|0.007|Music Wire|None|
CALL||80001S|0.063|0.310|0.590|0.030|0.320|0.220|0.007|Stainless|None|
||80006|0.063|0.310|1.400|0.040|0.300|0.460|0.008|Music Wire|None|
||80006S|0.063|0.310|1.200|0.030|0.220|0.300|0.008|Stainless|None|
||80013S|0.063|0.310|2.300|0.050|0.160|0.420|0.009|Stainless|None|
||80002|0.063|0.380|0.520|0.030|0.570|0.320|0.007|Music Wire|None|
||80002S|0.063|0.380|0.440|0.030|0.440|0.220|0.007|Stainless|None|
||80007|0.063|0.380|1.100|0.040|0.380|0.460|0.008|Music Wire|None|
||80007S|0.063|0.380|0.940|0.030|0.280|0.300|0.008|Stainless|None|
||80014S|0.063|0.380|1.800|0.050|0.210|0.420|0.009|Stainless|None|
||80003|0.063|0.440|0.420|0.030|0.700|0.320|0.007|Music Wire|None|
||80003S|0.063|0.440|0.350|0.030|0.540|0.220|0.007|Stainless|None|
||80008|0.063|0.440|0.890|0.040|0.480|0.460|0.008|Music Wire|None|
||80008S|0.063|0.440|0.760|0.030|0.350|0.300|0.008|Stainless|None|
CALL||80015S|0.063|0.440|1.400|0.050|0.260|0.420|0.009|Stainless|None|
||80004|0.063|0.500|0.380|0.030|0.770|0.320|0.007|Music Wire|None|
||80004S|0.063|0.500|0.320|0.030|0.590|0.220|0.007|Stainless|None|
||80009|0.063|0.500|0.720|0.040|0.590|0.460|0.008|Music Wire|None|
||80009S|0.063|0.500|0.610|0.030|0.440|0.300|0.008|Stainless|None|
||80016S|0.063|0.500|1.200|0.050|0.310|0.420|0.009|Stainless|None|
CALL||ZZ3-2|0.063|0.630|0.510|0.050|0.520|0.320|0.008|Stainless|None|
||80010|0.063|0.630|0.590|0.040|0.720|0.460|0.008|Music Wire|None|
||80010S|0.063|0.630|0.500|0.030|0.540|0.300|0.008|Stainless|None|
||80017S|0.063|0.630|0.940|0.050|0.400|0.420|0.009|Stainless|None|
||ZZ3-18|0.063|0.660|0.460|0.050|0.580|0.320|0.008|Stainless|None|
||80011|0.063|0.750|0.480|0.040|0.880|0.460|0.008|Music Wire|None|
||80011S|0.063|0.750|0.410|0.030|0.650|0.300|0.008|Stainless|None|
||ZZ2-24|0.063|0.750|0.780|0.090|0.480|0.460|0.009|Stainless|None|
||80018S|0.063|0.750|0.750|0.050|0.490|0.420|0.009|Stainless|None|
||B-413|0.063|1.000|0.340|0.060|1.200|0.480|0.008|Music Wire|Zinc|
||B3-8|0.094|0.340|0.150|0.010|1.300|0.210|0.007|Music Wire|None|
||80026S|0.094|0.380|1.000|0.040|0.350|0.400|0.010|Stainless|None|
||80027S|0.094|0.440|0.780|0.040|0.450|0.400|0.010|Stainless|None|
||80028S|0.094|0.500|0.660|0.040|0.530|0.400|0.010|Stainless|None|
||80029S|0.094|0.630|0.490|0.040|0.720|0.400|0.010|Stainless|None|
||80030S|0.094|0.750|0.360|0.040|0.990|0.400|0.010|Stainless|None|
||80031S|0.094|0.880|0.280|0.040|1.300|0.400|0.010|Stainless|None|
