"630-HEDS-9140-A00","HEDS-9140#A00","Avago Technologies","Encoders 3 Channel 500CPR","Page 1,791Data Sheet",28.16,"Optical Encoders","Incremental",500,,3,"PCB","Solder Pin",,,,"5 V",
"630-HEDS-9100-A00","HEDS-9100#A00","Avago Technologies","Encoders 2 Channel 500CPR","Page 1,791Data Sheet",25.4,"Optical Encoders","Incremental",500,,2,"PCB","Solder Pin",,,,"5 V",
"630-HEDS-9140-I00","HEDS-9140#I00","Avago Technologies","Encoders 3 Channel 512CPR","Page 1,791Data Sheet",28.6,"Optical Encoders","Incremental",512,,3,"PCB","Solder Pin",,,,"5 V",
"652-PEC11-4020F-S024","PEC11-4020F-S0024","Bourns","Encoders INCREMENTAL ENCODER 12MMLearn More","Page 1,793
Data Sheet",1.85,"Mechanical Encoders","Incremental",24,0,2,"PCB","Solder","2 bit Gray Code","Metal Flatted","With Push Switch",,"- 30 C to + 70 C"
"630-HEDS-9100-B00","HEDS-9100#B00","Avago Technologies","Encoders 2 Channel 1000CPR","Page 1,791Data Sheet",25.4,"Optical Encoders","Incremental",1000,,2,"PCB","Solder Pin",,,,"5 V",
"652-PEL12T4226FS1024","PEL12T-4226F-S1024","Bourns","Encoders Red/Blue/Green LED Push Switch FlattedLearn More","Page 1,794Data Sheet",6.09,"Mechanical Encoders","Incremental",24,24,1,"PCB","Through Hole","2 Bit Gray Code","Flatted","Momentary","5 Volts","- 40 C to + 85 C"
"652-PEL12D4225SS2024","PEL12D-4225S-S2024","Bourns","Encoders 4pin Green/Red Knurled w/switchLearn More","Page 1,794Data Sheet",3.84,"Mechanical Encoders","Incremental",24,24,1,"PCB","Through Hole","2 Bit Gray Code","Knurled","Momentary","5 Volts","- 40 C to + 85 C"
"630-HEDS-9040-B00","HEDS-9040#B00","Avago Technologies","Encoders 3 Channel 1000CPR","Page 1,791Data Sheet",25.6,"Optical Encoders","Incremental",1000,,3,"PCB","Solder Pin",,,,"5 V",
"652-ECW1J-B24-BC24L","ECW1J-B24-BC0024L","Bourns","Encoders 9mm Inserted Slot","Data Sheet",3.44,"Mechanical Encoders","Incremental",24,24,2,"PCB","Terminal Cover","2 bit Gray Code","1/4 in Diameter Plain with Inserted Slot",,,"- 40 C to + 85 C"
"630-HEDS-9000-U00","HEDS-9000#U00","Avago Technologies","Encoders 2 Channel 2048CPR","Page 1,791Data Sheet",25.4,"Optical Encoders","Incremental",2048,,2,"PCB","Solder Pin",,,,"5 V",
